Sentence,g_bias
"page : 1 
----------------------------------------------------------------------------------------------------Train 
Script
Sc # 1 Day, Interiors
Corporate Office – Conference Hall
Black screen",neutral
"In the background, a bass note is heard",neutral
"It is gaining volume, causing unrest",neutral
Fade-in,neutral
Aditya's face in close,neutral
He is staring into the blank,male_bias
Cut to mid shot,neutral
"Some movements  
are seen behind him and in front",male_bias
Cut to mid-long shot,neutral
"We see a lawyer standing behind Aditya, speaking  
vehemently",neutral
Cut to long shot,neutral
More movement comes into view,neutral
We still hear no sound,neutral
"Some other men  
in suits are seen, contributing to the tense conversation",male_bias
Lots of people talking together,neutral
"Aditya is sitting  
at the head of the table",neutral
There is a middle aged woman sitting across the table to him,neutral
"Raghav, Aditya's  
colleague, touches his shoulder",male_bias
Aditya looks at Raghav,neutral
Raghav looks cross,neutral
"Sound fades in – loud,  
incomprehensible din",neutral
"Chief in that is the woman's lawyer reading out certain demands from the  
company",female_bias
"Lawyer 1(continuing) …on the other hand you should be happy that my client is not insisting on  
going to court",neutral
Although court jaane mein inka fayda hai,neutral
"Chaar hearings mein baat saaf ho jayegi ki ye  
kya deserve karti hain aur inko is company se kya milna chahiye",neutral
The noise attacks the senses,neutral
"Aditya sits amidst the madness for a while, then slowly gets up",neutral
"Meanwhile, the noise continues off-camera –
RaghavI don't think we should jump to conclusions",neutral
"Lawyer 2Yahan milne ka matlab yehi hai ki hum Mrs Khanna ki demands ko consider kar rahe  
hain",neutral
Lawyer 1Humne aapko consider karne ko nahin kaha hai,neutral
"Aapki authourity nahin hai consider  
karne ki",neutral
"RaghavExcuse me… hum jhagda karne ke liye nahin mil rahe hain… 
LawyerLet me tell you that there can be no compromise on the list of demands made by Mrs Khanna",neutral
"{1/2 min}
 page : 2 
----------------------------------------------------------------------------------------------------Sc # 2 Day, Interiors
Corporate Office – Washroom, Corridor
Aditya stands facing the mirror in the wash room",neutral
He is looking down,male_bias
"After a moment, he looks  
up towards his eyes",male_bias
He lacks the courage to look at himself,male_bias
He looks down,male_bias
"He comes out of the washroom, looks at the conference hall",male_bias
"Raghav is standing at the door of the  
conference hall, waiting for him",male_bias
"He indicates to him to hurry back, the others are waiting",male_bias
"Raghav goes  
inside",neutral
Aditya looks at the conference hall,neutral
"Through the glass, he sees Raghav telling the others that  
Aditya is coming back now",male_bias
Aditya can see that the situation is waiting to explode on him,male_bias
"He stands there  
for a moment",male_bias
"Then instead of going towards the conference hall, Aditya turns right into the staircase",neutral
"Sc # 3 Day, Int / Exteriors 
 page : 3 
----------------------------------------------------------------------------------------------------Corporate Office – Foyer, Porch
Aditya walks into the foyer",neutral
The staff and visitors jerk into attention,neutral
"Some salute, some wish,  
somebody runs towards the porch",neutral
Aditya's black BMW drives into the porch,neutral
Someone opens the car door for Aditya,neutral
"Aditya walks down the steps, does not go to the open  
door",neutral
He walks around and takes the key from the driver and sits in the car,male_bias
"{1/2 min}
Sc # 4 Evening, Int / Exteriors
Club House Reception Ceremony
The car drives into a club house and parks",neutral
Aditya gets off,neutral
"page : 4 
----------------------------------------------------------------------------------------------------Many men and women – all decked up in fineries – notice Aditya as he walks in",neutral
"There is a  
reaction of surprise",neutral
Aditya comes to the lawn and looks straight,neutral
"A wedding reception platform, bride and  
groom and guests and photographers",neutral
The bride sees him,male_bias
He is walking towards her,neutral
She gets tense,female_bias
"He  
gets into the line of people waiting to meet the couple",male_bias
"Aditya gets up on the platform, walks towards the girl, stands in front of her",female_bias
"She looks at the  
groom",female_bias
The groom extends his hand to Aditya,male_bias
They shake hands,neutral
The photographers ask them to pose,neutral
Aditya poses,neutral
"Snap, snap, snap",neutral
"He looks at the bride one more time, then turns and walks away",male_bias
"He walks through the corridor, walks into the parking lot and comes to his car",male_bias
"He unlocks the  
car, opens the door",male_bias
"He stands in that position, looking at the keys",male_bias
Music of receding begins,neutral
"Aditya  
places the key on top of the car",neutral
"[As he turns away from the bride and walks, ambient sound begins to fade out",male_bias
"By the time he places the  
key on top of the car, the soundtrack is completely silent",male_bias
"]
{1/2 min}
Title Sequence
The music of receding plays",neutral
Aditya turns,neutral
Titles begin,neutral
"His mind is a blank, his senses diffused",male_bias
He walks out,male_bias
"Outside the club, Aditya walks the lane – as though some force is taking him away",male_bias
"He opens his  
coat buttons and removes the tie",male_bias
Return office traffic has begun,neutral
"He puts his tie on the pavement, crosses the street",male_bias
"page : 5 
----------------------------------------------------------------------------------------------------Aditya walks across a market place",neutral
He walks on another street,male_bias
"He removes his coat, places it on a railing",male_bias
"A beggar is looking at  
him",male_bias
He removes his gold cuff-links,male_bias
Cuff-links fall on the pavement,neutral
"He walks across a bus-stop, pulling his sleeves",male_bias
A bus stops,neutral
People file in from around him,male_bias
"He  
turns and looks at the bus",male_bias
He is sitting in the bus,male_bias
His co-passengers keep changing,male_bias
Evening,neutral
The bus comes to a final halt outside VT station,neutral
Everyone gets off,neutral
Aditya gets out,neutral
VT railway station,neutral
Aditya walks in,neutral
He walks through the crowd in the foyer,male_bias
