MOVIE NAME, YEAR, MALE SINGER COUNT, FEMALE SINGER COUNT, MALE SONG COUNT, FEMALE SONG COUNT,total,male_percent,female_percent,difference,bias
Raabta (film)_2017,2017,5,2,8,2,7,71.42857142857143,28.57142857142857,42.85714285714286,bias
Luv U Soniyo_2013,2013,4,1,6,1,5,80.0,20.0,60.0,bias
Sahibaan_1993,1993,2,2,3,6,4,50.0,50.0,0.0,non bias
Baap Numbri Beta Dus Numbri_1990,1990,1,2,1,4,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Jyoti Bane Jwala_1980,1980,3,3,4,5,6,50.0,50.0,0.0,non bias
Main Sunder Hoon_1971,1971,5,3,10,13,8,62.5,37.5,25.0,bias
Shuddh Desi Romance_2013,2013,2,3,2,3,5,40.0,60.0,-20.0,bias
Ready (2011 film)_2011,2011,3,1,6,4,4,75.0,25.0,50.0,bias
Platform (1993 film)_1993,1993,3,3,4,5,6,50.0,50.0,0.0,non bias
Hum Bhi Insaan Hain (1989 film)_1989,1989,1,4,1,4,5,20.0,80.0,-60.0,bias
Hum To Mohabbat Karega_2000,2000,6,2,11,6,8,75.0,25.0,50.0,bias
Kal Ki Awaz_1992,1992,1,3,7,9,4,25.0,75.0,-50.0,bias
Thakshak_1999,1999,1,0,3,0,1,100.0,0.0,100.0,bias
Sadiyaan_2010,2010,3,3,4,4,6,50.0,50.0,0.0,non bias
Haathon Ki Lakeeren_1986,1986,1,1,1,1,2,50.0,50.0,0.0,non bias
Muqaddar Ka Faisla_1987,1987,1,1,4,3,2,50.0,50.0,0.0,non bias
Dulha Bikta Hai_1982,1982,2,3,3,6,5,40.0,60.0,-20.0,bias
Dawat_1974,1974,1,2,1,4,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Julie (1975 film)_1975,1975,1,4,2,5,5,20.0,80.0,-60.0,bias
Humshakals_2014,2014,2,3,2,6,5,40.0,60.0,-20.0,bias
Zamaane Ko Dikhana Hai_1981,1981,2,1,3,2,3,66.66666666666666,33.33333333333333,33.33333333333333,bias
Veerta_1991,1991,2,3,4,6,5,40.0,60.0,-20.0,bias
Aaj Ka Samson_1991,1991,1,6,1,9,7,14.285714285714285,85.71428571428571,-71.42857142857142,bias
Nasbandi_1978,1978,2,3,3,6,5,40.0,60.0,-20.0,bias
Guest Iin London_2017,2017,0,0,0,0,0,,,,bias
Masoom (1983 film)_1983,1983,3,3,3,3,6,50.0,50.0,0.0,non bias
Saudagar (1991 film)_1991,1991,4,3,6,6,7,57.14285714285714,42.857142857142854,14.285714285714285,bias
Kites (film)_2010,2010,7,1,16,2,8,87.5,12.5,75.0,bias
Jaanam_1992,1992,1,2,1,8,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Maan Gaye Ustaad_1981,1981,2,2,5,5,4,50.0,50.0,0.0,non bias
Kushti (film)_2010,2010,2,2,2,2,4,50.0,50.0,0.0,non bias
Paras (film)_1971,1971,4,3,5,9,7,57.14285714285714,42.857142857142854,14.285714285714285,bias
Patanga_1971,1971,1,3,5,3,4,25.0,75.0,-50.0,bias
Pink (2016 film)_2016,2016,1,1,2,1,2,50.0,50.0,0.0,non bias
Suhaag (1994 film)_1994,1994,3,3,8,6,6,50.0,50.0,0.0,non bias
Mastizaade_2016,2016,2,2,2,2,4,50.0,50.0,0.0,non bias
Rangila Ratan_1976,1976,3,2,5,2,5,60.0,40.0,20.0,bias
Tubelight (film)_2017,2017,10,0,11,0,10,100.0,0.0,100.0,bias
Gundaraj_1995,1995,1,2,5,3,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Baazi (1995 film)_1995,1995,1,2,5,6,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Action Replayy_2010,2010,5,5,6,9,10,50.0,50.0,0.0,non bias
Sone Pe Suhaaga_1988,1988,2,2,5,6,4,50.0,50.0,0.0,non bias
Hate Story_2012,2012,1,1,1,2,2,50.0,50.0,0.0,non bias
Panaah (film)_1992,1992,2,2,5,6,4,50.0,50.0,0.0,non bias
Hafta Vasuli_1998,1998,0,0,0,0,0,,,,bias
Fever (2016 film)_2016,2016,3,3,5,6,6,50.0,50.0,0.0,non bias
Tere Mere Phere_2011,2011,2,0,2,0,2,100.0,0.0,100.0,bias
Break Ke Baad_2010,2010,3,3,7,5,6,50.0,50.0,0.0,non bias
Naami Chor_1977,1977,4,2,6,6,6,66.66666666666666,33.33333333333333,33.33333333333333,bias
Ab Ayega Mazaa_1984,1984,3,3,4,4,6,50.0,50.0,0.0,non bias
Mahaan_1983,1983,3,2,7,3,5,60.0,40.0,20.0,bias
Ek Chadar Maili Si_1986,1986,0,1,0,3,1,0.0,100.0,-100.0,bias
Khamoshi: The Musical_1996,1996,4,3,7,7,7,57.14285714285714,42.857142857142854,14.285714285714285,bias
Damini  Lightning_1993,1993,1,2,4,5,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Kalyug Aur Ramayan_1987,1987,2,3,4,4,5,40.0,60.0,-20.0,bias
Dulhan (1975 film)_1974,1974,1,1,1,4,2,50.0,50.0,0.0,non bias
Anokha Rishta_1986,1986,0,2,0,4,2,0.0,100.0,-100.0,bias
Dream Girl (1977 film)_1977,1977,1,2,2,4,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Ghar Jamai (1992 film)_1992,1992,2,3,2,6,5,40.0,60.0,-20.0,bias
Mumbai Mirror (film)_2013,2013,4,3,4,3,7,57.14285714285714,42.857142857142854,14.285714285714285,bias
Tujhe Nahin Chhodunga_1989,1989,1,4,2,10,5,20.0,80.0,-60.0,bias
Toofan Aur Bijlee_1975,1975,2,1,3,4,3,66.66666666666666,33.33333333333333,33.33333333333333,bias
Dharam Karam_1975,1975,4,3,15,8,7,57.14285714285714,42.857142857142854,14.285714285714285,bias
Loot (2011 film)_2011,2011,3,2,4,2,5,60.0,40.0,20.0,bias
Anokha Milan_1972,1972,2,0,2,0,2,100.0,0.0,100.0,bias
Bhookamp_1993,1993,3,3,5,5,6,50.0,50.0,0.0,non bias
Sarfarosh (1999 film)_1999,1999,4,2,4,4,6,66.66666666666666,33.33333333333333,33.33333333333333,bias
Kaun Kare Qurbaani_1991,1991,2,2,8,9,4,50.0,50.0,0.0,non bias
Nafrat_1987,1987,1,1,1,2,2,50.0,50.0,0.0,non bias
Izzatdaar_1990,1990,1,3,1,13,4,25.0,75.0,-50.0,bias
Qila (film)_1998,1998,3,4,8,8,7,42.857142857142854,57.14285714285714,-14.285714285714285,bias
Rocky (1981 film)_1981,1981,1,2,5,4,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Teri Meherbaniyan_1985,1985,0,3,0,4,3,0.0,100.0,-100.0,bias
Karma (1986 film)_1986,1986,4,2,6,5,6,66.66666666666666,33.33333333333333,33.33333333333333,bias
Jai Kishen_1994,1994,2,2,5,2,4,50.0,50.0,0.0,non bias
Dilbar (1994 film)_1994,1994,2,2,4,5,4,50.0,50.0,0.0,non bias
Aazmayish_1995,1995,3,1,6,2,4,75.0,25.0,50.0,bias
Ghamandee_1981,1981,1,1,1,6,2,50.0,50.0,0.0,non bias
Raaton Ka Raja_1970,1970,2,3,5,5,5,40.0,60.0,-20.0,bias
Kaafila_2007,2007,2,1,5,1,3,66.66666666666666,33.33333333333333,33.33333333333333,bias
Jawaani_1984,1984,0,3,0,15,3,0.0,100.0,-100.0,bias
Rajaji (film)_1999,1999,2,4,5,5,6,33.33333333333333,66.66666666666666,-33.33333333333333,bias
PK (film)_2014,2014,3,1,4,3,4,75.0,25.0,50.0,bias
Kali Ganga_1990,1990,1,2,1,2,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Inaam Dus Hazaar_1987,1987,1,2,3,4,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Naiyya_1979,1979,3,1,6,2,4,75.0,25.0,50.0,bias
Janbaaz_1986,1986,3,3,5,6,6,50.0,50.0,0.0,non bias
Sachaa Jhutha (1970 film)_1970,1970,3,2,8,2,5,60.0,40.0,20.0,bias
Judwaa_1997,1997,3,2,6,3,5,60.0,40.0,20.0,bias
Chal Pichchur Banate Hain_2012,2012,4,2,7,3,6,66.66666666666666,33.33333333333333,33.33333333333333,bias
Waqt Ka Badshah_1992,1992,1,0,2,0,1,100.0,0.0,100.0,bias
War Chhod Na Yaar_2013,2013,11,2,13,4,13,84.61538461538461,15.384615384615385,69.23076923076923,bias
Sarphira_1992,1992,1,2,1,5,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Chandi Sona_1977,1977,5,1,10,8,6,83.33333333333334,16.666666666666664,66.66666666666669,bias
Shandaar_1990,1990,1,3,1,7,4,25.0,75.0,-50.0,bias
Ram Tere Kitne Nam_1985,1985,1,2,2,3,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Santa Banta Pvt Ltd_2016,2016,3,0,7,0,3,100.0,0.0,100.0,bias
Barood (1976 film)_1976,1976,1,1,4,2,2,50.0,50.0,0.0,non bias
Saala Khadoos_2016,2016,2,0,2,0,2,100.0,0.0,100.0,bias
Oh Darling! Yeh Hai India_1995,1995,6,1,11,1,7,85.71428571428571,14.285714285714285,71.42857142857142,bias
Maazii (2013 film)_2013,2013,3,2,3,2,5,60.0,40.0,20.0,bias
Karan Arjun_1995,1995,3,3,6,7,6,50.0,50.0,0.0,non bias
Humlaa_1992,1992,2,3,2,5,5,40.0,60.0,-20.0,bias
Anmol Sitaare_1982,1982,1,6,2,19,7,14.285714285714285,85.71428571428571,-71.42857142857142,bias
Boxer (1984 film)_1984,1984,2,2,5,5,4,50.0,50.0,0.0,non bias
Rang Rasiya_2014,2014,3,1,3,2,4,75.0,25.0,50.0,bias
United Six (film)_2011,2011,0,0,0,0,0,,,,bias
Bin Phere Hum Tere_1979,1979,2,2,3,6,4,50.0,50.0,0.0,non bias
Khoon Ki Keemat_1974,1974,1,1,2,8,2,50.0,50.0,0.0,non bias
Mafia (1996 film)_1996,1996,2,3,5,5,5,40.0,60.0,-20.0,bias
Andar Baahar_1984,1984,3,1,5,3,4,75.0,25.0,50.0,bias
Saanch Ko Aanch Nahin_1979,1979,2,1,5,4,3,66.66666666666666,33.33333333333333,33.33333333333333,bias
Mr. and Mrs. Khiladi_1997,1997,5,4,7,5,9,55.55555555555556,44.44444444444444,11.111111111111114,bias
Hatim Tai (1990 film)_1990,1990,1,4,1,7,5,20.0,80.0,-60.0,bias
Kabeela_1976,1976,3,2,5,4,5,60.0,40.0,20.0,bias
Khilona (1970 film)_1970,1970,3,2,5,3,5,60.0,40.0,20.0,bias
Tutak Tutak Tutiya_2016,2016,1,2,1,2,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Badi Bahen_1993,1993,1,3,1,8,4,25.0,75.0,-50.0,bias
Garajna_1991,1991,2,5,2,6,7,28.57142857142857,71.42857142857143,-42.85714285714286,bias
Daku Aur Mahatma_1977,1977,2,3,2,12,5,40.0,60.0,-20.0,bias
Heroine (2012 film)_2012,2012,2,3,2,3,5,40.0,60.0,-20.0,bias
Deewaangee_1976,1976,1,3,4,5,4,25.0,75.0,-50.0,bias
Nidaan_2000,2000,2,1,3,6,3,66.66666666666666,33.33333333333333,33.33333333333333,bias
Raadha Aur Seeta_1979,1979,3,2,4,13,5,60.0,40.0,20.0,bias
Insaf Ki Pukar_1987,1987,1,2,3,4,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Kapoor & Sons_2016,2016,3,2,5,2,5,60.0,40.0,20.0,bias
Bond 303_1985,1985,3,2,5,3,5,60.0,40.0,20.0,bias
Waaris (1988 film)_1988,1988,3,2,5,6,5,60.0,40.0,20.0,bias
Devi (1970 film)_1970,1970,1,1,1,1,2,50.0,50.0,0.0,non bias
Taqdeerwala_1995,1995,4,2,8,7,6,66.66666666666666,33.33333333333333,33.33333333333333,bias
Charitraheen_1974,1974,1,2,1,4,3,33.33333333333333,66.66666666666666,-33.33333333333333,bias
Mr. Singh / Mrs. Mehta_2010,2010,3,3,4,5,6,50.0,50.0,0.0,non bias
Players (film)_2012,2012,6,5,10,7,11,54.54545454545454,45.45454545454545,9.090909090909086,non bias
Damaad_1978,1978,1,1,3,5,2,50.0,50.0,0.0,non bias
Mardaani_2014,2014,0,1,0,1,1,0.0,100.0,-100.0,bias
